"MODEL","pp","psoe","piu","cs","erc","dl","pnv","bil","cc","PROV","SEATS","TIME","PERCENT"
2,4,0,0,0,0,0,0,0,0,"la rioja",4,"2016-06-26 22:46:47",99.13
2,7,0,0,0,0,0,0,0,0,"pontevedra",7,"2016-06-26 22:46:47",93.04
2,4,0,0,0,0,0,0,0,0,"lleida",4,"2016-06-26 22:46:47",95.44
2,0,0,0,0,0,0,4,0,0,"araba - alava",4,"2016-06-26 22:14:18",99.79
2,4,0,0,0,0,0,0,0,0,"leon",4,"2016-06-26 22:46:47",97.12
2,5,0,0,0,0,0,0,0,0,"ciudad real",5,"2016-06-26 22:46:47",99.83
2,3,0,0,0,0,0,0,0,0,"cuenca",3,"2016-06-26 22:46:47",96.3
2,1,0,0,0,0,0,0,0,0,"melilla",1,"2016-06-26 22:46:47",79.15
2,16,0,0,0,0,0,0,0,0,"valencia - valència",16,"2016-06-26 22:46:47",97.11
2,8,0,0,0,0,0,0,0,0,"baleares",8,"2016-06-26 22:46:47",97.52
2,4,0,0,0,0,0,0,0,0,"lugo",4,"2016-06-26 22:46:47",96.39
2,6,0,0,0,0,0,0,0,0,"badajoz",6,"2016-06-26 22:46:47",94.68
2,5,0,0,0,0,0,0,0,0,"navarra",5,"2016-06-26 22:46:47",98.94
2,3,0,0,0,0,0,0,0,0,"avila",3,"2016-06-26 22:46:47",95.87
2,0,0,0,0,0,0,8,0,0,"bizkaia",8,"2016-06-26 22:46:47",99.28
2,2,1,0,0,0,0,0,0,0,"teruel",3,"2016-06-26 22:32:02",100
2,4,0,0,0,0,0,0,0,0,"salamanca",4,"2016-06-26 22:46:47",98.07
2,1,1,0,0,0,0,0,0,0,"soria",2,"2016-06-26 22:41:38",91.75
2,5,0,0,0,0,0,0,0,0,"castellon - castello",5,"2016-06-26 22:46:47",99.01
2,12,0,0,0,0,0,0,0,0,"alicante - alacant",12,"2016-06-26 22:46:47",98.74
2,4,0,0,0,0,0,0,0,0,"albacete",4,"2016-06-26 22:46:47",96.4
2,6,0,0,0,0,0,0,0,0,"girona",6,"2016-06-26 22:46:47",96.88
2,4,0,0,0,0,0,0,0,0,"ourense",4,"2016-06-26 22:46:47",93.02
2,3,3,2,1,0,0,0,0,0,"cadiz",9,"2016-06-26 22:46:46",94.78
2,7,0,0,0,0,0,0,0,0,"granada",7,"2016-06-26 22:46:47",95.53
2,3,0,0,0,0,0,0,0,0,"segovia",3,"2016-06-26 22:46:47",96.84
2,0,0,0,0,0,0,6,0,0,"gipuzkoa",6,"2016-06-26 22:46:47",99.14
2,3,0,0,0,0,0,0,0,0,"zamora",3,"2016-06-26 22:46:47",96.96
2,2,1,0,0,0,0,0,0,0,"palencia",3,"2016-06-26 22:41:38",98.68
2,1,0,0,0,0,0,0,0,0,"ceuta",1,"2016-06-26 22:43:55",94.02
2,31,0,0,0,0,0,0,0,0,"barcelona",31,"2016-06-26 22:46:47",92.24
2,6,0,0,0,0,0,0,0,0,"cordoba",6,"2016-06-26 22:46:47",93.7
2,0,0,0,0,0,0,0,0,8,"las palmas",8,"2016-06-26 22:46:47",77.76
2,36,0,0,0,0,0,0,0,0,"madrid",36,"2016-06-26 22:46:47",83.16
2,7,0,0,0,0,0,0,0,0,"zaragoza",7,"2016-06-26 22:46:47",98.31
2,11,0,0,0,0,0,0,0,0,"malaga",11,"2016-06-26 22:46:47",93.89
2,8,0,0,0,0,0,0,0,0,"a coruna",8,"2016-06-26 22:46:47",93.55
2,3,2,0,1,0,0,0,0,0,"almeria",6,"2016-06-26 22:46:46",95.59
2,12,0,0,0,0,0,0,0,0,"sevilla",12,"2016-06-26 22:46:47",91.29
2,6,0,0,0,0,0,0,0,0,"toledo",6,"2016-06-26 22:46:47",93.82
